"trust_promise","male","age","edu","unemployed","rural","political_know","cntry","country_year","year"
1,2,55,12,-11,2,3,"AR","AR-2006",2006
99,2,80,7,1,2,,"AR","AR-2006",2006
2,2,46,15,-11,2,5,"AR","AR-2006",2006
2,1,29,12,-11,2,2,"AR","AR-2006",2006
2,1,56,18,-11,2,4,"AR","AR-2006",2006
2,1,62,18,-11,2,5,"AR","AR-2006",2006
1,1,57,18,-11,2,5,"AR","AR-2006",2006
1,1,26,14,-11,2,4,"AR","AR-2006",2006
4,2,48,7,-11,2,2,"AR","AR-2006",2006
99,2,51,14,1,2,,"AR","AR-2006",2006
2,1,59,15,-11,2,2,"AR","AR-2006",2006
2,2,28,16,-11,2,3,"AR","AR-2006",2006
1,1,24,11,-11,2,2,"AR","AR-2006",2006
2,2,28,18,-11,2,4,"AR","AR-2006",2006
4,2,29,14,-11,2,1,"AR","AR-2006",2006
1,1,63,11,-11,2,5,"AR","AR-2006",2006
2,2,35,15,-11,2,2,"AR","AR-2006",2006
1,1,28,16,-11,2,3,"AR","AR-2006",2006
1,1,59,11,-11,2,3,"AR","AR-2006",2006
1,1,45,11,-11,2,1,"AR","AR-2006",2006
2,1,25,12,-11,2,4,"AR","AR-2006",2006
4,2,33,3,1,2,2,"AR","AR-2006",2006
4,2,59,4,1,2,5,"AR","AR-2006",2006
2,1,22,12,-11,2,4,"AR","AR-2006",2006
1,2,55,18,-11,2,2,"AR","AR-2006",2006
2,2,49,12,1,2,4,"AR","AR-2006",2006
1,1,25,12,-11,2,4,"AR","AR-2006",2006
2,2,39,18,-11,2,3,"AR","AR-2006",2006
2,2,64,18,-11,2,5,"AR","AR-2006",2006
3,2,53,7,-11,2,4,"AR","AR-2006",2006
3,2,25,15,-11,2,3,"AR","AR-2006",2006
99,2,62,7,1,2,,"AR","AR-2006",2006
1,1,45,18,-11,2,5,"AR","AR-2006",2006
3,2,50,15,-11,2,2,"AR","AR-2006",2006
1,1,54,10,-11,2,5,"AR","AR-2006",2006
99,1,42,4,-11,2,,"AR","AR-2006",2006
2,2,46,10,1,2,2,"AR","AR-2006",2006
2,1,22,25,-11,2,3,"AR","AR-2006",2006
2,2,29,12,-11,2,4,"AR","AR-2006",2006
4,2,55,15,-11,2,2,"AR","AR-2006",2006
99,2,60,4,1,2,,"AR","AR-2006",2006
2,2,54,7,-11,2,3,"AR","AR-2006",2006
2,1,38,15,-11,2,2,"AR","AR-2006",2006
2,2,61,12,-11,2,4,"AR","AR-2006",2006
2,1,61,7,-11,2,2,"AR","AR-2006",2006
2,2,53,7,-11,2,2,"AR","AR-2006",2006
4,1,36,12,-11,2,4,"AR","AR-2006",2006
2,1,56,12,-11,2,4,"AR","AR-2006",2006
2,1,82,13,1,2,5,"AR","AR-2006",2006
2,2,43,15,-11,2,4,"AR","AR-2006",2006
1,2,39,14,-11,2,,"AR","AR-2006",2006
1,2,27,18,1,2,2,"AR","AR-2006",2006
2,1,50,9,-11,2,5,"AR","AR-2006",2006
2,2,28,12,1,2,3,"AR","AR-2006",2006
1,2,51,9,-11,2,4,"AR","AR-2006",2006
4,2,33,12,1,2,4,"AR","AR-2006",2006
1,1,48,12,-11,2,4,"AR","AR-2006",2006
1,2,40,15,-11,2,3,"AR","AR-2006",2006
1,2,43,15,-11,2,3,"AR","AR-2006",2006
2,2,70,7,1,2,4,"AR","AR-2006",2006
2,1,37,10,-11,2,5,"AR","AR-2006",2006
99,2,48,7,-11,2,1,"AR","AR-2006",2006
1,1,70,9,1,2,4,"AR","AR-2006",2006
1,2,32,14,-11,2,1,"AR","AR-2006",2006
2,2,53,7,1,2,5,"AR","AR-2006",2006
2,2,48,14,-11,2,3,"AR","AR-2006",2006
1,2,44,14,-11,2,3,"AR","AR-2006",2006
4,1,39,7,-11,2,4,"AR","AR-2006",2006
4,1,32,10,-11,2,2,"AR","AR-2006",2006
2,1,25,8,-11,2,4,"AR","AR-2006",2006
2,1,28,10,-11,2,4,"AR","AR-2006",2006
1,2,53,7,-11,2,4,"AR","AR-2006",2006
1,2,43,15,-11,2,4,"AR","AR-2006",2006
1,2,75,10,1,2,3,"AR","AR-2006",2006
1,2,52,10,-11,2,5,"AR","AR-2006",2006
2,2,53,12,1,2,4,"AR","AR-2006",2006
2,2,47,12,1,2,2,"AR","AR-2006",2006
2,2,26,12,-11,2,3,"AR","AR-2006",2006
1,1,38,12,-11,2,5,"AR","AR-2006",2006
1,1,57,9,-11,2,,"AR","AR-2006",2006
1,1,43,7,-11,2,2,"AR","AR-2006",2006
2,2,32,11,1,2,3,"AR","AR-2006",2006
1,1,40,10,1,2,3,"AR","AR-2006",2006
2,2,47,10,1,2,2,"AR","AR-2006",2006
99,2,21,12,1,2,,"AR","AR-2006",2006
2,1,52,7,-11,2,5,"AR","AR-2006",2006
1,1,52,7,-11,2,4,"AR","AR-2006",2006
2,1,59,7,-11,2,3,"AR","AR-2006",2006
3,2,37,12,1,2,5,"AR","AR-2006",2006
2,2,42,5,-11,2,2,"AR","AR-2006",2006
